term,weight
said,0.05707945859535863
va,0.03121100850438055
military,0.029580674876683824
veterans,0.028591972250712465
air,0.020617467940226137
army,0.01987014477074439
service,0.019120269490476866
force,0.018887828957575546
navy,0.017987980662644395
would,0.017870622264802568
